名前	グループ	プロファイル	有効	操作	優先	プログラム	ローカル アドレス	リモート アドレス	プロトコル	ローカル ポート	リモート ポート	承認されているユーザー	承認されているコンピューター	承認されたローカル プリンシパル	ローカル ユーザー オーナー	アプリケーション パッケージ	
AWS向け受信許可設定(TCP)		すべて	はい	許可	いいえ	任意	任意	任意	TCP	443	任意	任意	任意	任意	任意	任意	
DNS許可設定		すべて	はい	許可	いいえ	任意	任意	任意	UDP	53	任意	任意	任意	任意	任意	任意	
NTPサーバ受信許可設定(UDP)		すべて	はい	許可	いいえ	任意	任意	任意	UDP	123	任意	任意	任意	任意	任意	任意	
RDP許可設定		すべて	はい	許可	いいえ	任意	任意	10.8.0.5, 10.8.0.9, 10.8.0.13, 10.8.0.17, 10.8.0.21, 10.8.0.25, 10.8.0.29, 10.8.0.33, 10.8.0.37, 10.8.0.41	任意	任意	任意	任意	任意	任意	任意	任意	
セグメント切替テスト_監視対象サーバ(Linux)受信許可設定(TCP)		すべて	いいえ	許可	いいえ	任意	任意	10.191.1.101, 172.27.99.100	TCP	22, 20115, 20237, 20238, 20240, 20271-20276, 20281-20284, 20305, 20358, 20383, 20700-20703, 22285-22286, 22350	任意	任意	任意	任意	任意	任意	
セグメント切替テスト_監視対象サーバ受信許可設定(ICMPv4)		すべて	いいえ	許可	いいえ	任意	任意	10.191.1.101, 172.27.99.100	ICMPv4	任意	任意	任意	任意	任意	任意	任意	
メールサーバ受信許可設定(TCP)		すべて	はい	許可	いいえ	任意	任意	202.32.74.3	TCP	25	任意	任意	任意	任意	任意	任意	
監視対象サーバ(Linux)受信許可設定(TCP)		すべて	はい	許可	いいえ	任意	任意	10.191.1.2-10.191.1.30, 192.168.8.2-192.168.8.14, 10.191.1.101, 172.27.99.100	TCP	22, 20115, 20237, 20238, 20240, 20271-20276, 20281-20284, 20305, 20358, 20383, 20700-20703, 22285-22286, 22350	任意	任意	任意	任意	任意	任意	
監視対象サーバ(Windows)受信許可設定(TCP)		すべて	はい	許可	いいえ	任意	任意	任意	TCP	135, 137-139, 445, 5000-65535	任意	任意	任意	任意	任意	任意	
監視対象サーバ受信許可設定(ICMPv4)		すべて	はい	許可	いいえ	任意	任意	10.191.1.2-10.191.1.30, 192.168.8.2-192.168.8.14, 10.191.1.101	ICMPv4	任意	任意	任意	任意	任意	任意	任意	
